name,floor,shop_number,category,name_en,name_tc,name_sc,raw_floor,source_url,source_section,extraction_method
7-Eleven,L2,201-202,Tasty Snacks,7-Eleven,7-11便利店,7-11便利店,"Shop 201-202, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Choi Fung,L2,204,"Services, Education & Beauty",Choi Fung,彩豐,彩丰,"Shop 204, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
DBS Bank,L2,205-206,Banking & Real Estate Services,DBS Bank,星展銀行,星展银行,"Shop 205-206, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
和順堂中醫診所-名醫･名藥,L2,209B,"Services, Education & Beauty",和順堂中醫診所-名醫･名藥,和順堂中醫診所-名醫･名藥,和顺堂中医诊所-名医･名药,"Shop 209B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
You Beauty,L2,209A,"Services, Education & Beauty",You Beauty,You Beauty,You Beauty,"Shop 209A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Quality Healthcare,L2,210,"Services, Education & Beauty",Quality Healthcare,卓健醫療,卓健医疗,"Shop 210, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Horace Healthcare,L2,211,"Services, Education & Beauty",Horace Healthcare,嚴洪晧醫生醫務所,严洪晧医生医务所,"Shop 211, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Tom Lee Music,L2,212,"Services, Education & Beauty",Tom Lee Music,通利琴行,Tom Lee Music,"Shop 212, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Comma,L2,212A,Fashion & Shoes,Comma,Comma,Comma,"Shop 212A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
a shop,L2,213,Electronic & IT,a shop,a shop,a shop,"Shop 213, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
China-Herbs & Ginseng Co.,L2,215,Others,China-Herbs & Ginseng Co.,華豐行蔘茸藥材海味公司,华丰行蔘茸药材海味公司,"Shop 215, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Centaline Property,L2,219,Banking & Real Estate Services,Centaline Property,中原地產,中原地产,"Shop 219, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Watsons,L2,222-225,"Services, Education & Beauty",Watsons,屈臣氏,屈臣氏,"Shop 222-225, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Footspot,L2,226,Fashion & Shoes,Footspot,Footspot,Footspot,"Shop 226, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Misty,L2,227,Fashion & Shoes,Misty,Misty,Misty,"Shop 227, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Lights Up Collection Co.,L2,228,Fashion & Shoes,Lights Up Collection Co.,Lights Up Collection Co.,Lights Up Collection Co.,"Shop 228, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Prime & Natural,L2,229,"Services, Education & Beauty",Prime & Natural,尚然堂中醫診所,尚然堂中医诊所,"Shop 229, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Yan Fashion & Accessories Co.,L2,230,Fashion & Shoes,Yan Fashion & Accessories Co.,Yan Fashion & Accessories Co.,Yan Fashion & Accessories Co.,"Shop 230, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Standard Chartered Bank,L2,"231-234, 246",Banking & Real Estate Services,Standard Chartered Bank,渣打銀行,渣打银行,"Shop 231-234, 246, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Maple,L2,235&235A,Fashion & Shoes,Maple,Maple,Maple,"Shop 235, 235A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Medi Magic,L2,235B & 245B,"Services, Education & Beauty",Medi Magic,Medi Magic,Medi Magic,"Shop 235B, 245B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Baleno,L2,236,Fashion & Shoes,Baleno,Baleno,班尼路,"Shop 236, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
EG,L2,237,Fashion & Shoes,EG,EG,EG,"Shop 237, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Petite,L2,238,Fashion & Shoes,Petite,Petite,Petite,"Shop 238, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Shampoo hk,L2,239,"Services, Education & Beauty",Shampoo hk,Shampoo hk,Shampoo hk,"Shop 239, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Natural Beauty,L2,240,"Services, Education & Beauty",Natural Beauty,天然美纖體美容中心,天然美纤体美容中心,"Shop 240, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Skin Pro,L2,241-242,"Services, Education & Beauty",Skin Pro,美肌堡,美肌堡,"Shop 241-242, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Trendy,L2,243B,Fashion & Shoes,Trendy,Trendy,Trendy,"Shop 243B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Jojo Collection,L2,245A,Fashion & Shoes,Jojo Collection,Jojo Collection,Jojo Collection,"Shop 245A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
TV Salon,L2,247-248,"Services, Education & Beauty",TV Salon,影髮軒,影发轩,"Shop 247-248, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Lady Club Nail,L2,258C,"Services, Education & Beauty",Lady Club Nail,Lady Club Nail,Lady Club Nail,"Shop 258C, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Nail Style,L2,258A,"Services, Education & Beauty",Nail Style,Nail Style,Nail Style,"Shop 258A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Rainbow Creative Arts,L2,258B,"Services, Education & Beauty",Rainbow Creative Arts,彩虹屋創意藝術中心,彩虹屋创意艺术中心,"Shop 258B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Sigo Hair Salon,L2,260B,"Services, Education & Beauty",Sigo Hair Salon,Sigo Hair Salon,Sigo Hair Salon,"Shop 260B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Modern Beauty Salon,L2,261,"Services, Education & Beauty",Modern Beauty Salon,現代美容中心,现代美容中心,"Shop 261, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
CHINA LIFE,L2,265A,Others,CHINA LIFE,中國人壽(海外),中国人寿,"Shop 265A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Wing On Travel,L2,265B,"Services, Education & Beauty",Wing On Travel,永安旅遊,永安旅遊,"Shop 265B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
星之鑽珠寶,L2,265C,"Gift, Toys & Jewelry",星之鑽珠寶,星之鑽珠寶,星之钻珠宝,"Shop 265C, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Serenity,L2,272A,Fashion & Shoes,Serenity,Serenity,Serenity,"Shop 272A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Wai Shing Wine & Spirits,L2,272B-272C,Western Taste,Wai Shing Wine & Spirits,偉成洋酒,伟成洋酒,"Shop 272B-272C, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Aplex,L2,276,Supermarket,Aplex,日本貨好友站,日本货好友站,"Shop 276, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Great Meat,L2,277,Supermarket,Great Meat,豐衣肉食,丰衣肉食,"Shop 277, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
HKTV Mall,L2,278,Supermarket,HKTV Mall,HKTV Mall,HKTV Mall,"Shop 278, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Sukhama,L2,279,"Gift, Toys & Jewelry",Sukhama,Sukhama,Sukhama,"Shop 279, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Chicks,L2,280B,Fashion & Shoes,Chicks,雞仔嘜,鸡仔唛,"Shop 280B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
LY,L2,280A,Fashion & Shoes,LY,LY,LY,"Shop 280A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
spins,L2,281,Fashion & Shoes,spins,spins,spins,"Shop 281, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
味之誘惑,L2,282-283,Tasty Snacks,味之誘惑,味之誘惑,味之诱惑,"Shop 282-283, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Colorful,L2,284,Fashion & Shoes,Colorful,Colorful,Colorful,"Shop 284, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Here,L2,285,Fashion & Shoes,Here,Here,Here,"Shop 285, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Miniso,L2,"286A, 286B, 287-288",Homeware,Miniso,名創優品,名创优品,"Shop 286A, 286B, 287-288, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Timely Fashion,L2,290,Fashion & Shoes,Timely Fashion,Timely Fashion,Timely Fashion,"Shop 290, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
D'aime,L2,291,"Gift, Toys & Jewelry",D'aime,廸亞美,迪亚美,"Shop 291, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Leaveland,L2,292,Fashion & Shoes,Leaveland,Leaveland,Leaveland,"Shop 292, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Play Wow,L2,293,"Gift, Toys & Jewelry",Play Wow,Play Wow,Play Wow,"Shop 293, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
VideoCom,L2,293A & 295,Electronic & IT,VideoCom,腦博仕,脑博仕,"Shop 293A, 295, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
7-Eleven,L2,298-299,Tasty Snacks,7-Eleven,7-11便利店,7-11便利店,"Shop 298-299, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Bank of China (Hong Kong) (ATM),L2,2100-2103 & 2128-2133,Banking & Real Estate Services,Bank of China (Hong Kong) (ATM),中國銀行(香港) (ATM),中国银行(香港) (ATM),"Shop 2100-2103, 2128-2133, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Organic有機護髮,L2,2105C,"Services, Education & Beauty",Organic有機護髮,Organic有機護髮,Organic有机护发,"Shop 2105C, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Midland Realty,L2,2105A&B,Banking & Real Estate Services,Midland Realty,美聯物業,美联物业,"Shop 2105A & B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Gitti / V'cocca,L2,2106,Fashion & Shoes,Gitti / V'cocca,Gitti / V'cocca,Gitti / V'cocca,"Shop 2106, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
May Toys,L2,2107,"Gift, Toys & Jewelry",May Toys,五月玩具店,五月玩具店,"Shop 2107, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
王嘉雯譚耀基牙科醫生,L2,2109,"Services, Education & Beauty",王嘉雯譚耀基牙科醫生,王嘉雯譚耀基牙科醫生,王嘉雯谭耀基牙科医生,"Shop 2109, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Sea Horse / Hecom Shop,L2,2110A,Homeware,Sea Horse / Hecom Shop,海馬 / 軒琴居,海马 / 轩琴居,"Shop 2110A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
China Construction Bank (Asia),L2,2111B,Banking & Real Estate Services,China Construction Bank (Asia),中國建設銀行(亞洲),中国建设银行(亚洲),"Shop 2111B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Unique,L2,2112B,Fashion & Shoes,Unique,Unique,Unique,"Shop 2112B, Level2, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
速速剪速剪专门店,L2,2112A,"Services, Education & Beauty",速速剪速剪专门店,速速剪速剪專門店,Speedy Just Cut,"Shop 2112A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
大寶鐘錶行,L2,2112C,"Gift, Toys & Jewelry",大寶鐘錶行,大寶鐘錶行,大宝钟表行,"Shop 2112C, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Red Fashion,L2,2113B,Fashion & Shoes,Red Fashion,紅時裝公司,红时装公司,"Shop 2113B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
YIK Fashion House,L2,2113A,Fashion & Shoes,YIK Fashion House,YIK Fashion House,YIK Fashion House,"Shop 2113A, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Smart Vision Centre,L2,2115A-2115B,"Services, Education & Beauty",Smart Vision Centre,睛明視力中心,睛明视力中心,"Shop 2115A-2115B, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Occasio,L2,2116,Fashion & Shoes,Occasio,Occasio,Occasio,"Shop 2116, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Premier Food Limited,L2,2117,Supermarket,Premier Food Limited,尚品,尚品,"Shop 2117, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Health Aims,L2,2118,"Services, Education & Beauty",Health Aims,源生坊,源生坊,"Shop 2118, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Chronicle,L2,2119,"Gift, Toys & Jewelry",Chronicle,千年史,千年史,"Shop 2119, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Nail Concept Company,L2,2120,"Services, Education & Beauty",Nail Concept Company,千齊髮品店,千齐发品店,"Shop 2120,  Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Ye Yon Arts Study,L2,2121,"Gift, Toys & Jewelry",Ye Yon Arts Study,怡養齋,怡养斋,"Shop 2121, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Party Claw,L2,"2110B, 2125-2127","Leisure, Entertainment & Sports",Party Claw,Party Claw,Party Claw,"Shop 2110B, 2125-2127, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Bank of China (Hong Kong),L2,2100-2103 & 2128-2133,Banking & Real Estate Services,Bank of China (Hong Kong),中國銀行(香港),中国银行(香港),"Shop 2100-2103, 2128-2133, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Parsons Music,L3,301-302,"Services, Education & Beauty",Parsons Music,柏斯琴行,柏斯琴行,"Shop 301-302, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Bank of Communications,L2,303-304,Banking & Real Estate Services,Bank of Communications,交通銀行,交通银行,"Shop 2122-2123, 303-304, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
The Hong Kong Jockey Club,L3,305,Community Services,The Hong Kong Jockey Club,香港賽馬會,香港赛马会,"Shop 305, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Shanghai Commercial Bank,L3,"306-310, COM1",Banking & Real Estate Services,Shanghai Commercial Bank,上海商業銀行,上海商业银行,"Shop 306-310, COM1, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Aurora Dance Academy,L3,311,"Services, Education & Beauty",Aurora Dance Academy,奧羅拉舞蹈學院,奥罗拉舞蹈学院,"Shop 311, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Aircut,L3,312,"Services, Education & Beauty",Aircut,Aircut,Aircut,"Shop 312, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Chiyu Bank,L3,313,Banking & Real Estate Services,Chiyu Bank,集友銀行,集友银行,"Shop 313, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
JP Books,L3,314-317,"Gift, Toys & Jewelry",JP Books,三聯書店,三联书店,"Shop 314-317, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Bank of East Asia,L3,318-322,Banking & Real Estate Services,Bank of East Asia,東亞銀行,东亚银行,"Shop 318-322, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Century 21 Goodwin Property Consultants,L3,323,Banking & Real Estate Services,Century 21 Goodwin Property Consultants,世紀21奇豐物業,世纪21奇丰物业,"Shop 323, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Midland Realty,L3,324,Banking & Real Estate Services,Midland Realty,美聯物業,美联物业,"Shop 324, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Q-Pets,L3,326,"Gift, Toys & Jewelry",Q-Pets,Q-Pets,Q-Pets,"Shop 326, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
Midland Realty,L3,327,Banking & Real Estate Services,Midland Realty,美聯物業,美联物业,"Shop 327, Ma On Shan Plaza",https://www.fortunemalls.com.hk/get/shopping?mall_id=3,api,ai_config_api_variation
