name,floor,shop_number,category,raw_floor,source_url,source_section,extraction_method
MARITHE FRANÇOIS GIRBAUD,UC - 12,UC - 12,精選商戶,UC - 12,https://www.hkapm.com.hk/shop/,html,ai_config_html
Dior,C - 11,C - 11,精選商戶,C - 11,https://www.hkapm.com.hk/shop/,html,ai_config_html
吃茶三千,地面低層 - 2C,地面低層 - 2C,Shopping,地面低層 - 2C,https://www.hkapm.com.hk/shop/,html,ai_config_html
Sweety Eyes by cl mall,四樓 - 5,四樓 - 5,Shopping,四樓 - 5,https://www.hkapm.com.hk/shop/,html,ai_config_html
3 Shop,五樓 - 1a,五樓 - 1a,Shopping,五樓 - 1a,https://www.hkapm.com.hk/shop/,html,ai_config_html
7-Eleven G2,地面 - 2,地面 - 2,Shopping,地面 - 2,https://www.hkapm.com.hk/shop/,html,ai_config_html
7-Eleven L1,一樓 - SP25,一樓 - SP25,Shopping,一樓 - SP25,https://www.hkapm.com.hk/shop/,html,ai_config_html
A1 Bakery,地面低層 - 6a,地面低層 - 6a,Shopping,地面低層 - 6a,https://www.hkapm.com.hk/shop/,html,ai_config_html
ad-lib,三樓 - 2,三樓 - 2,Shopping,三樓 - 2,https://www.hkapm.com.hk/shop/,html,ai_config_html
adidas,四樓 - 8&9,四樓 - 8&9,Shopping,四樓 - 8&9,https://www.hkapm.com.hk/shop/,html,ai_config_html
agnès b.,大堂高層 - 16,大堂高層 - 16,Shopping,大堂高層 - 16,https://www.hkapm.com.hk/shop/,html,ai_config_html
Apple,大堂 - 19&21&23&25&27,大堂 - 19&21&23&25&27,Shopping,大堂 - 19&21&23&25&27,https://www.hkapm.com.hk/shop/,html,ai_config_html
ASICS,四樓 - Xsite 1a,四樓 - Xsite 1a,Shopping,四樓 - Xsite 1a,https://www.hkapm.com.hk/shop/,html,ai_config_html
Asok Thai,地面低層 - 3a,地面低層 - 3a,Shopping,地面低層 - 3a,https://www.hkapm.com.hk/shop/,html,ai_config_html
AVENUE,三樓 - 3,三樓 - 3,Shopping,三樓 - 3,https://www.hkapm.com.hk/shop/,html,ai_config_html
B+ cinema apm,六樓 - 1&1a,六樓 - 1&1a,Shopping,六樓 - 1&1a,https://www.hkapm.com.hk/shop/,html,ai_config_html
北京同仁堂,地面低層 - 3g,地面低層 - 3g,Shopping,地面低層 - 3g,https://www.hkapm.com.hk/shop/,html,ai_config_html
BRAND OFF,大堂高層 - 2,大堂高層 - 2,Shopping,大堂高層 - 2,https://www.hkapm.com.hk/shop/,html,ai_config_html
百老滙,五樓 - Xsite2,五樓 - Xsite2,Shopping,五樓 - Xsite2,https://www.hkapm.com.hk/shop/,html,ai_config_html
C.P.U.,四樓 - Xsite 1a,四樓 - Xsite 1a,Shopping,四樓 - Xsite 1a,https://www.hkapm.com.hk/shop/,html,ai_config_html
CALVIN KLEIN UNDERWEAR,大堂高層 - 27,大堂高層 - 27,Shopping,大堂高層 - 27,https://www.hkapm.com.hk/shop/,html,ai_config_html
CATALO,地面低層 - 3e,地面低層 - 3e,Shopping,地面低層 - 3e,https://www.hkapm.com.hk/shop/,html,ai_config_html
Catalog,一樓 - 12,一樓 - 12,Shopping,一樓 - 12,https://www.hkapm.com.hk/shop/,html,ai_config_html
CD Warehouse,三樓 - 10,三樓 - 10,Shopping,三樓 - 10,https://www.hkapm.com.hk/shop/,html,ai_config_html
CHARLES & KEITH,大堂高層 - 10,大堂高層 - 10,Shopping,大堂高層 - 10,https://www.hkapm.com.hk/shop/,html,ai_config_html
Charlotte Tilbury,大堂 - 9,大堂 - 9,Shopping,大堂 - 9,https://www.hkapm.com.hk/shop/,html,ai_config_html
Charterise,大堂高層 - 49,大堂高層 - 49,Shopping,大堂高層 - 49,https://www.hkapm.com.hk/shop/,html,ai_config_html
CHEVIGNON,二樓 - 9,二樓 - 9,Shopping,二樓 - 9,https://www.hkapm.com.hk/shop/,html,ai_config_html
周生生,大堂 - 37 & 39,大堂 - 37 & 39,Shopping,大堂 - 37 & 39,https://www.hkapm.com.hk/shop/,html,ai_config_html
周大福,大堂 - 30,大堂 - 30,Shopping,大堂 - 30,https://www.hkapm.com.hk/shop/,html,ai_config_html
春水堂人文茶館,一樓 - 1,一樓 - 1,Shopping,一樓 - 1,https://www.hkapm.com.hk/shop/,html,ai_config_html
Clinique,大堂 - 35,大堂 - 35,Shopping,大堂 - 35,https://www.hkapm.com.hk/shop/,html,ai_config_html
Columbia,二樓 - 6,二樓 - 6,Shopping,二樓 - 6,https://www.hkapm.com.hk/shop/,html,ai_config_html
曲奇四重奏,大堂高層 - 39,大堂高層 - 39,Shopping,大堂高層 - 39,https://www.hkapm.com.hk/shop/,html,ai_config_html
COVA,大堂 - 17,大堂 - 17,Shopping,大堂 - 17,https://www.hkapm.com.hk/shop/,html,ai_config_html
CROCS,三樓 - 8,三樓 - 8,Shopping,三樓 - 8,https://www.hkapm.com.hk/shop/,html,ai_config_html
Cupping Room Coffee Roasters,大堂高層 - 15,大堂高層 - 15,Shopping,大堂高層 - 15,https://www.hkapm.com.hk/shop/,html,ai_config_html
DALLOYAU,大堂 - 1,大堂 - 1,Shopping,大堂 - 1,https://www.hkapm.com.hk/shop/,html,ai_config_html
丼丼屋 x 鳥開,六樓 - 3b,六樓 - 3b,Shopping,六樓 - 3b,https://www.hkapm.com.hk/shop/,html,ai_config_html
Donguri Republic 橡子共和國,一樓 - 23,一樓 - 23,Shopping,一樓 - 23,https://www.hkapm.com.hk/shop/,html,ai_config_html
Double Step,三樓 - 12a,三樓 - 12a,Shopping,三樓 - 12a,https://www.hkapm.com.hk/shop/,html,ai_config_html
Doughnut,三樓 - 11b,三樓 - 11b,Shopping,三樓 - 11b,https://www.hkapm.com.hk/shop/,html,ai_config_html
Dr. Martens,四樓 - 3,四樓 - 3,Shopping,四樓 - 3,https://www.hkapm.com.hk/shop/,html,ai_config_html
DV Meteor,一樓 - 3b,一樓 - 3b,Shopping,一樓 - 3b,https://www.hkapm.com.hk/shop/,html,ai_config_html
一杯,四樓 - 20&21,四樓 - 20&21,Shopping,四樓 - 20&21,https://www.hkapm.com.hk/shop/,html,ai_config_html
EARTH MUSIC & ECOLOGY,大堂高層 - 9,大堂高層 - 9,Shopping,大堂高層 - 9,https://www.hkapm.com.hk/shop/,html,ai_config_html
Emperor Jewellery 英皇珠寶,大堂 - 26,大堂 - 26,Shopping,大堂 - 26,https://www.hkapm.com.hk/shop/,html,ai_config_html
FANCL,大堂 - 1,大堂 - 1,Shopping,大堂 - 1,https://www.hkapm.com.hk/shop/,html,ai_config_html
FIVE GUYS,大堂 - 2,大堂 - 2,Shopping,大堂 - 2,https://www.hkapm.com.hk/shop/,html,ai_config_html
Food Fiesta,二樓 - Food Court,二樓 - Food Court,Shopping,二樓 - Food Court,https://www.hkapm.com.hk/shop/,html,ai_config_html
豐澤,五樓 - Xsite1,五樓 - Xsite1,Shopping,五樓 - Xsite1,https://www.hkapm.com.hk/shop/,html,ai_config_html
G2000,一樓 - 22 a&b,一樓 - 22 a&b,Shopping,一樓 - 22 a&b,https://www.hkapm.com.hk/shop/,html,ai_config_html
元気寿司,六樓 - 3a,六樓 - 3a,Shopping,六樓 - 3a,https://www.hkapm.com.hk/shop/,html,ai_config_html
Glycel,大堂高層 - 6,大堂高層 - 6,Shopping,大堂高層 - 6,https://www.hkapm.com.hk/shop/,html,ai_config_html
Godiva Chocolatier,大堂 - SP3,大堂 - SP3,Shopping,大堂 - SP3,https://www.hkapm.com.hk/shop/,html,ai_config_html
泰國婆 Grandma Thai,四樓 - 18,四樓 - 18,Shopping,四樓 - 18,https://www.hkapm.com.hk/shop/,html,ai_config_html
綠茶餐廳,大堂高層 - 1,大堂高層 - 1,Shopping,大堂高層 - 1,https://www.hkapm.com.hk/shop/,html,ai_config_html
Häagen-Dazs™,一樓 - 7,一樓 - 7,Shopping,一樓 - 7,https://www.hkapm.com.hk/shop/,html,ai_config_html
happylemon,一樓 - 17,一樓 - 17,Shopping,一樓 - 17,https://www.hkapm.com.hk/shop/,html,ai_config_html
八天堂,二樓 - 8,二樓 - 8,Shopping,二樓 - 8,https://www.hkapm.com.hk/shop/,html,ai_config_html
草姬,地面低層 - 2a,地面低層 - 2a,Shopping,地面低層 - 2a,https://www.hkapm.com.hk/shop/,html,ai_config_html
HISSO,二樓 - 5b,二樓 - 5b,Shopping,二樓 - 5b,https://www.hkapm.com.hk/shop/,html,ai_config_html
本陣,四樓 - 23,四樓 - 23,Shopping,四樓 - 23,https://www.hkapm.com.hk/shop/,html,ai_config_html
HP 專門店,五樓 - 7,五樓 - 7,Shopping,五樓 - 7,https://www.hkapm.com.hk/shop/,html,ai_config_html
IDEAS,大堂高層 - 21,大堂高層 - 21,Shopping,大堂高層 - 21,https://www.hkapm.com.hk/shop/,html,ai_config_html
官燕棧,地面低層 - 5b,地面低層 - 5b,Shopping,地面低層 - 5b,https://www.hkapm.com.hk/shop/,html,ai_config_html
Ineffable,三樓 - 9a,三樓 - 9a,Shopping,三樓 - 9a,https://www.hkapm.com.hk/shop/,html,ai_config_html
INITIAL,一樓 - 8&10,一樓 - 8&10,Shopping,一樓 - 8&10,https://www.hkapm.com.hk/shop/,html,ai_config_html
INITIALGENTLEMAN,一樓 - 8 & 10,一樓 - 8 & 10,Shopping,一樓 - 8 & 10,https://www.hkapm.com.hk/shop/,html,ai_config_html
INTIQUE,大堂高層 - 26,大堂高層 - 26,Shopping,大堂高層 - 26,https://www.hkapm.com.hk/shop/,html,ai_config_html
IPSA,大堂 - 5,大堂 - 5,Shopping,大堂 - 5,https://www.hkapm.com.hk/shop/,html,ai_config_html
Italian Tomato Café,五樓 - 6b,五樓 - 6b,Shopping,五樓 - 6b,https://www.hkapm.com.hk/shop/,html,ai_config_html
JINS,二樓 - 7,二樓 - 7,Shopping,二樓 - 7,https://www.hkapm.com.hk/shop/,html,ai_config_html
JP@apm,六樓 - 5,六樓 - 5,Shopping,六樓 - 5,https://www.hkapm.com.hk/shop/,html,ai_config_html
神山麺屋,二樓 - 1b,二樓 - 1b,Shopping,二樓 - 1b,https://www.hkapm.com.hk/shop/,html,ai_config_html
奇華餅家,一樓 - 26b,一樓 - 26b,Shopping,一樓 - 26b,https://www.hkapm.com.hk/shop/,html,ai_config_html
肯德基,二樓 - 1,二樓 - 1,Shopping,二樓 - 1,https://www.hkapm.com.hk/shop/,html,ai_config_html
Kiehl's,大堂 - 15,大堂 - 15,Shopping,大堂 - 15,https://www.hkapm.com.hk/shop/,html,ai_config_html
La Famille,大堂高層 - 5,大堂高層 - 5,Shopping,大堂高層 - 5,https://www.hkapm.com.hk/shop/,html,ai_config_html
LANEIGE,大堂 - 7,大堂 - 7,Shopping,大堂 - 7,https://www.hkapm.com.hk/shop/,html,ai_config_html
LAURA MERCIER,大堂 - 6,大堂 - 6,Shopping,大堂 - 6,https://www.hkapm.com.hk/shop/,html,ai_config_html
LEGiT,三樓 - 11a,三樓 - 11a,Shopping,三樓 - 11a,https://www.hkapm.com.hk/shop/,html,ai_config_html
利苑酒家,五樓 - 8,五樓 - 8,Shopping,五樓 - 8,https://www.hkapm.com.hk/shop/,html,ai_config_html
Levi's,三樓 - 9,三樓 - 9,Shopping,三樓 - 9,https://www.hkapm.com.hk/shop/,html,ai_config_html
Life4cuts,四樓 - 25a,四樓 - 25a,Shopping,四樓 - 25a,https://www.hkapm.com.hk/shop/,html,ai_config_html
LIFETASTIC Patisserie,一樓 - 5,一樓 - 5,Shopping,一樓 - 5,https://www.hkapm.com.hk/shop/,html,ai_config_html
LINE FRIENDS POP-UP Store,大堂 - 33,大堂 - 33,Shopping,大堂 - 33,https://www.hkapm.com.hk/shop/,html,ai_config_html
Lobby by Hair Corner & Lobby Cafe,三樓 - 5,三樓 - 5,Shopping,三樓 - 5,https://www.hkapm.com.hk/shop/,html,ai_config_html
LOG-ON,一樓 - 21,一樓 - 21,Shopping,一樓 - 21,https://www.hkapm.com.hk/shop/,html,ai_config_html
LUCULLUS 龍島,地面低層 - 2b,地面低層 - 2b,Shopping,地面低層 - 2b,https://www.hkapm.com.hk/shop/,html,ai_config_html
