name,floor,shop_number,category,raw_floor,source_url,source_section,extraction_method
POLO RALPH LAUREN,L3,301,Shopping,"POLO RALPH LAUREN一期, L3, 301舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
VIVAIA,L5,535,Shopping,"VIVAIA一期, L5, 535舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
0.9144m,LB,LB06,Shopping,"0.9144m一期,PLAY PARK, LB06舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
2nd STREET,L3,357,Shopping,"2nd STREET一期, L3, 357舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
3D-JP,L2,A209,Shopping,"3D-JP三期, L2, A209舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
AAPE BY A BATHING APE®,L4,419,Shopping,"AAPE BY A BATHING APE®一期, L4, 419舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Abercrombie & Fitch,L4,456,Shopping,"Abercrombie & Fitch一期, L4, 456舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ad-lib,L1,A111,Shopping,"ad-lib三期, L1, A111舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
adidas,L5,527,Shopping,"adidas一期, L5, 527舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Aerie,L3,365,Shopping,"Aerie一期, L3, 365舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
AESOP,L3,A354,Shopping,"AESOP三期, L3, A354舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
agnès b.,L3,389,Shopping,"agnès b.一期, L3, 389舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
AIGLE,L4,487-488,Shopping,"AIGLE一期, L4, 487-488舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
American Eagle,L3,366,Shopping,"American Eagle一期, L3, 366舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
APIVITA,L3,A343,Shopping,"APIVITA三期, L3, A343舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
APM Monaco,L3,382,Shopping,"APM Monaco一期, L3, 382舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Apple,L4,426-428,Shopping,"Apple一期, L4, 426-428舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
arena,L1,A112,Shopping,"arena三期, L1, A112舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Armani,L4,465,Shopping,"Armani一期, L4, 465舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ARTCO GALLERY,UB,UB04,Shopping,"ARTCO GALLERY一期,PLAY PARK, UB04舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ASHWORTH,L5,522,Shopping,"ASHWORTH一期, L5, 522舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
ASICS,L5,512,Shopping,"ASICS一期, L5, 512舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Aveda Experience Center,L3,A344,Shopping,"Aveda Experience Center三期, L3, A344舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
BABY BABOON,L2,A225B,Shopping,"BABY BABOON三期, L2, A225B舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Balabala,L2,A234,Shopping,"Balabala三期, L2, A234舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Banananaxx,L3,A345,Shopping,"Banananaxx三期, L3, A345舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Bath & Body Works,L3,367,Shopping,"Bath & Body Works一期, L3, 367舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Baz & Friends Lane Crawford,L3,L3,Shopping,"Baz & Friends Lane Crawford一期, L3, Kiosks 3C & 3D",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
BeBeBus,L2,A212,Shopping,"BeBeBus三期, L2, A212舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
